,Prix
1073,32460
1093,37600
1384,30900
247,28070
1547,27250
78,23310
404,16090
1121,8730
1033,21260
851,64780
1569,31380
1543,35820
955,36470
1402,32530
334,43420
1459,20310
144,16220
810,19520
1049,25720
1141,22300
1478,45180
650,11530
1323,26850
1440,67360
1575,15790
766,16780
454,14370
1124,314600
1311,16220
454,21920
994,25500
519,38610
921,4550
504,11370
539,51690
1,15710
312,18920
121,34140
1023,25190
456,28730
1185,22660
753,13180
969,34180
1125,14310
1102,9700
1179,22220
1483,24290
763,16030
643,7480
1164,40580
1076,30230
96,24420
677,56470
714,9740
1495,50750
560,42400
1537,43030
1378,38860
184,17670
491,28240
577,42030
599,25720
886,20330
157,27610
1330,24970
887,15420
199,13900
1199,47410
997,15110
8,27700
975,3080
582,3640
78,57500
160,12600
249,29390
1440,16030
230,18880
1575,33630
1057,22790
1451,87190
1444,20520
1028,22550
671,26990
1043,26530
1208,14290
1306,20410
1018,17010
626,13680
980,9760
463,24940
1351,24870
1410,31700
647,30730
1582,34870
529,13780
743,13420
499,32340
1265,19980
1089,11880
1083,56720
1526,15510
1525,56610
624,22300
605,21760
490,19090
517,17090
1122,23540
700,12860
10,33910
152,23580
247,17240
989,12050
